Date,U.S. Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Pipeline Imports Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas LNG Imports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Pipeline Exports (Dollars per Thousand Cubic Feet),Price of Liquefied U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),U.S. Natural Gas Electric Power Price (Dollars per Thousand Cubic Feet),U.S. Natural Gas Gross Withdrawals (MMcf),U.S. Natural Gas Gross Withdrawals from Gas Wells (MMcf),U.S. Natural Gas Gross Withdrawals from Oil Wells (MMcf),U.S. Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),U.S. Natural Gas Gross Withdrawals from Coalbed Wells (MMcf),U.S. Natural Gas Repressuring (MMcf),U.S. Nonhydrocarbon Gases Removed from Natural Gas (MMcf),U.S. Natural Gas Vented and Flared (MMcf),U.S. Natural Gas Marketed Production (MMcf),U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),U.S. Dry Natural Gas Production (MMcf),U.S. Natural Gas Imports (MMcf),U.S. Natural Gas Pipeline Imports (MMcf),U.S. Liquefied Natural Gas Imports (MMcf),U.S. Natural Gas Exports (MMcf),U.S. Natural Gas Pipeline Exports (MMcf),Liquefied U.S. Natural Gas Exports (MMcf),U.S. Total Natural Gas Underground Storage Capacity (MMcf),U.S. Natural Gas Underground Storage Volume (MMcf),U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),U.S. Total Natural Gas Injections into Underground Storage (MMcf),U.S. Natural  Gas Underground Storage Withdrawals (MMcf),U.S. Natural Gas Underground Storage Net Withdrawals (MMcf),U.S. Natural Gas Total Consumption (MMcf),U.S. Natural Gas Lease and Plant Fuel Consumption (MMcf),U.S. Natural Gas Pipeline & Distribution Use (MMcf),Natural Gas Delivered to Consumers in the U.S. (MMcf),U.S. Natural Gas Residential Consumption (MMcf),Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),U.S. Natural Gas Industrial Consumption (MMcf),U.S. Natural Gas Vehicle Fuel Consumption (MMcf),U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf)
Jan-73,,,,,,,,,,,,,,,,,,,,,1948000,79000,,92694,,,5808,,,,,,,,,,,,,,843900,392315,,,
Feb-73,,,,,,,,,,,,,,,,,,,,,1962000,79000,,83870,,,6079,,,,,,,,,,,,,,747331,394281,,,
Mar-73,,,,,,,,,,,,,,,,,,,,,1907000,77000,,91581,,,4021,,,,,,,,,,,,,,648504,310799,,,
Apr-73,,,,,,,,,,,,,,,,,,,,,1814000,73000,,88407,,,8017,,,,,,,,,,,,,,465867,231943,,,
May-73,,,,,,,,,,,,,,,,,,,,,1898000,77000,,85844,,,8741,,,,,,,,,,,,,,326313,174258,,,
Jun-73,,,,,,,,,,,,,,,,,,,,,1839000,74000,,79121,,,4131,,,,,,,,,,,,,,207172,135165,,,
Jul-73,,,,,,,,,,,,,,,,,,,,,1880000,76000,,79428,,,5744,,,,,,,,,,,,,,150349,107728,,,
Aug-73,,,,,,,,,,,,,,,,,,,,,1896000,77000,,84400,,,8726,,,,,,,,,,,,,,142498,105681,,,
Sep-73,,,,,,,,,,,,,,,,,,,,,1840000,74000,,81157,,,6403,,,,,,,,,,,,,,159378,103831,,,
Oct-73,,,,,,,,,,,,,,,,,,,,,1875000,76000,,92151,,,5473,,,,,,,,,,,,,,205013,126540,,,
Nov-73,,,,,,,,,,,,,,,,,,,,,1863000,75000,,85784,,,5545,,,,,,,,,,,,,,392459,216762,,,
Dec-73,,,,,,,,,,,,,,,,,,,,,1926000,78000,,88466,,,8481,,,,4898000,2864000,2034000,,,,,,,,590602,297734,,,
Jan-74,,,,,,,,,,,,,,,,,,,,,1930000,79000,,85815,,,5661,,,,,,,,,,,,,,816943,406440,,,
Feb-74,,,,,,,,,,,,,,,,,,,,,1760000,72000,,78919,,,5949,,,,,,,,,,,,,,688478,335562,,,
Mar-74,,,,,,,,,,,,,,,,,,,,,1895000,78000,,85190,,,6677,,,,,,,,,,,,,,597641,301588,,,
Apr-74,,,,,,,,,,,,,,,,,,,,,1780000,73000,,83371,,,6273,,,,,,,,,,,,,,482013,243041,,,
May-74,,,,,,,,,,,,,,,,,,,,,1847000,76000,,79764,,,5481,,,,,,,,,,,,,,315920,165233,,,
Jun-74,,,,,,,,,,,,,,,,,,,,,1740000,71000,,74245,,,7610,,,,,,,,,,,,,,215382,128032,,,
Jul-74,,,,,,,,,,,,,,,,,,,,,1818000,75000,,73247,,,8072,,,,,,,,,,,,,,166289,109694,,,
Aug-74,,,,,,,,,,,,,,,,,,,,,1790000,74000,,76037,,,5332,,,,,,,,,,,,,,142086,107828,,,
Sep-74,,,,,,,,,,,,,,,,,,,,,1755000,72000,,70511,,,6397,,,,,,,,,,,,,,154824,106510,,,
Oct-74,,,,,,,,,,,,,,,,,,,,,1767000,73000,,82625,,,5332,,,,5445000,3042000,2403000,,,,,,,,235176,143295,,,
Nov-74,,,,,,,,,,,,,,,,,,,,,1729000,71000,,83107,,,7039,,,,,,,,,,,,,,358546,199514,,,
Dec-74,,,,,,,,,,,,,,,,,,,,,1790000,74000,,86454,,,6966,,,,4962000,2912000,2050000,,,,,,,,612830,308879,,,
Jan-75,,,,,,,,,,,,,,,,,,,,,1779000,77000,,80824,,,3959,,,,,,,,,,,,,,750713,346998,,,
Feb-75,,,,,,,,,,,,,,,,,,,,,1645000,71000,,74496,,,6982,,,,,,,,,,,,,,732408,345520,,,
Mar-75,,,,,,,,,,,,,,,,,,,,,1738000,75000,,83380,,,6265,,,,,,,,,,,,,,677687,312362,,,
Apr-75,,,,,,,,,,,,,,,,,,,,,1672000,73000,,82132,,,5815,,,,,,,,,,,,,,596831,289341,,,
May-75,,,,,,,,,,,,,,,,,,,,,1689000,73000,,79818,,,6677,,,,,,,,,,,,,,337326,164629,,,
Jun-75,,,,,,,,,,,,,,,,,,,,,1634000,71000,,76307,,,3624,,,,,,,,,,,,,,203708,119960,,,
Jul-75,,,,,,,,,,,,,,,,,,,,,1677000,73000,,80037,,,8091,,,,,,,,,,,,,,167293,107077,,,
Aug-75,,,,,,,,,,,,,,,,,,,,,1677000,73000,,75311,,,6288,,,,,,,,,,,,,,143604,104332,,,
Sep-75,,,,,,,,,,,,,,,,,,,,,1603000,70000,,73606,,,6037,,,,5553000,3085000,2468000,220000,31000,-189000,,,,,153980,106655,,,
Oct-75,,,,,,,,,,,,,,,,,,,,,1646000,71000,,80468,,,5987,,,,5706000,3107000,2599000,190000,51000,-139000,,,,,223383,133055,,,
Nov-75,,,,,,,,,,,,,,,,,,,,,1618000,70000,,80761,,,5202,,,,5691000,3150000,2541000,98000,146000,48000,,,,,329397,179518,,,
Dec-75,,,,,,,,,,,,,,,,,,,,,1730000,75000,,85867,,,7748,,,,5374000,3162000,2212000,38000,371000,333000,,,,,607794,298845,,,
Jan-76,0.54,,,,,,,,,,,,,,,,,,,,1751000,75000,,84395,,,5323,,,,4817000,3169000,1648000,15000,487000,472000,,,,,843235,405483,,,
Feb-76,0.54,,,,,,,,,,,,,,,,,,,,1647000,71000,,78024,,,5337,,,,4617000,3173000,1444000,59000,245000,186000,,,,,739592,364339,,,
Mar-76,0.54,,,,,,,,,,,,,,,,,,,,1714000,73000,,84910,,,6007,,,,4496000,3170000,1326000,71000,185000,114000,,,,,578491,285912,,,
Apr-76,0.55,,,,,,,,,,,,,,,,,,,,1623000,69000,,85940,,,5640,,,,4607000,3184000,1423000,166000,69000,-97000,,,,,442648,221383,,,
May-76,0.55,,,,,,,,,,,,,,,,,,,,1673000,72000,,81650,,,4664,,,,4827000,3190000,1637000,220000,22000,-198000,,,,,315760,169209,,,
Jun-76,0.58,,,,,,,,,,,,,,,,,,,,1640000,70000,,75785,,,4755,,,,5116000,3208000,1908000,273000,25000,-248000,,,,,220871,129058,,,
Jul-76,0.58,,,,,,,,,,,,,,,,,,,,1676000,72000,,73108,,,5997,,,,5412000,3220000,2192000,271000,6000,-265000,,,,,170257,112070,,,
Aug-76,0.6,,,,,,,,,,,,,,,,,,,,1636000,70000,,76539,,,5578,,,,5698000,3251000,2447000,268000,16000,-252000,,,,,140774,113174,,,
Sep-76,0.6,,,,,,,,,,,,,,,,,,,,1565000,67000,,74125,,,6540,,,,5946000,3296000,2650000,233000,20000,-213000,,,,,152346,113284,,,
Oct-76,0.62,,,,,,,,,,,,,,,,,,,,1639000,70000,,85257,,,4870,,,,5966000,3302000,2664000,121000,107000,-14000,,,,,241902,145824,,,
Nov-76,0.63,,,,,,,,,,,,,,,,,,,,1636000,70000,,80926,,,5163,,,,5713000,3305000,2408000,36000,270000,234000,,,,,471326,252710,,,
Dec-76,0.64,,,,,,,,,,,,,,,,,,,,1753000,75000,,83110,,,4837,,,,5250000,3323000,1926000,21000,468000,447000,,,,,734158,355294,,,
Jan-77,0.67,,,,,,,,,,,,,,,,,,,,1740000,75000,,86944,,,4785,,,,4580000,3293000,1287000,17000,664000,647000,,,,,936793,413377,,,
Feb-77,0.71,,,,,,,,,,,,,,,,,,,,1674000,72000,,91751,,,4574,,,,4446000,3283000,1163000,97000,233000,136000,,,,,823439,366311,,,
Mar-77,0.75,,,,,,,,,,,,,,,,,,,,1751000,75000,,100826,,,4289,,,,4501000,3286000,1215000,181000,131000,-50000,,,,,560779,263862,,,
Apr-77,0.77,,,,,,,,,,,,,,,,,,,,1644000,71000,,84474,,,3188,,,,4713000,3286000,1427000,247000,43000,-204000,,,,,401258,202477,,,
May-77,0.77,,,,,,,,,,,,,,,,,,,,1692000,73000,,85697,,,3158,,,,5024000,3293000,1731000,318000,17000,-301000,,,,,251756,142460,,,
Jun-77,0.82,,,,,,,,,,,,,,,,,,,,1649000,71000,,76247,,,4600,,,,5330000,3300000,2030000,306000,12000,-294000,,,,,182212,121297,,,
Jul-77,0.83,,,,,,,,,,,,,,,,,,,,1674000,72000,,72499,,,7016,,,,5665000,3317000,2348000,336000,15000,-321000,,,,,146064,113400,,,
Aug-77,0.82,,,,,,,,,,,,,,,,,,,,1645000,71000,,76453,,,5141,,,,5945000,3346000,2599000,280000,21000,-259000,,,,,131330,108977,,,
Sep-77,0.83,,,,,,,,,,,,,,,,,,,,1599000,69000,,75446,,,4621,,,,6188000,3364000,2824000,253000,2000,-251000,,,,,140661,108977,,,
Oct-77,0.84,,,,,,,,,,,,,,,,,,,,1628000,70000,,84828,,,4622,,,,6302000,3373000,2929000,152000,44000,-108000,,,,,223663,139407,,,
Nov-77,0.83,,,,,,,,,,,,,,,,,,,,1606000,69000,,86300,,,4735,,,,6224000,3403000,2821000,81000,158000,77000,,,,,371888,200897,,,
Dec-77,0.84,,,,,,,,,,,,,,,,,,,,1726000,74000,,89536,,,4896,,,,5866000,3391000,2475000,40000,412000,372000,,,,,651640,319351,,,
Jan-78,0.87,,,,,,,,,,,,,,,,,,,,1743000,74000,,85796,,,5005,,,,5193000,3374000,1819000,21000,662000,641000,,,,,816411,390741,,,
Feb-78,0.88,,,,,,,,,,,,,,,,,,,,1649000,70000,,77256,,,4908,,,,4683000,3373000,1310000,21000,526000,505000,,,,,837768,400991,,,
Mar-78,0.89,,,,,,,,,,,,,,,,,,,,1748000,75000,,85621,,,4775,,,,4497000,3374000,1123000,90000,276000,186000,,,,,680825,345141,,,
Apr-78,0.88,,,,,,,,,,,,,,,,,,,,1668000,71000,,78313,,,3182,,,,4608000,3377000,1231000,175000,67000,-108000,,,,,445702,224969,,,
May-78,0.91,,,,,,,,,,,,,,,,,,,,1664000,71000,,73829,,,4615,,,,4870000,3379000,1491000,285000,30000,-255000,,,,,307604,166190,,,
Jun-78,0.91,,,,,,,,,,,,,,,,,,,,1623000,69000,,68327,,,4592,,,,5217000,3381000,1836000,357000,18000,-339000,,,,,184388,119963,,,
Jul-78,0.89,,,,,,,,,,,,,,,,,,,,1693000,72000,,71557,,,4616,,,,5550000,3386000,2164000,341000,16000,-325000,,,,,146989,106471,,,
Aug-78,0.91,,,,,,,,,,,,,,,,,,,,1658000,71000,,73604,,,4615,,,,5904000,3403000,2501000,351000,12000,-339000,,,,,130270,100928,,,
Sep-78,0.92,,,,,,,,,,,,,,,,,,,,1576000,67000,,73236,,,6097,,,,6224000,3411000,2813000,322000,9000,-313000,,,,,135489,102915,,,
Oct-78,0.92,,,,,,,,,,,,,,,,,,,,1635000,70000,,80197,,,3236,,,,6402000,3444000,2958000,204000,28000,-176000,,,,,209515,133873,,,
Nov-78,0.93,,,,,,,,,,,,,,,,,,,,1607000,69000,,90783,,,3307,,,,6352000,3425000,2927000,80000,134000,54000,,,,,376411,196207,,,
Dec-78,0.96,,,,,,,,,,,,,,,,,,,,1710000,73000,,107026,,,3584,,,,6020000,3473000,2547000,32000,381000,349000,,,,,631636,312718,,,
Jan-79,1.02,,,,,,,,,,,,,,,,,,,,1772000,70000,,102237,,,6589,,,,5348000,3458000,1890000,20000,675000,655000,,,,,867301,431943,,,
Feb-79,1.05,,,,,,,,,,,,,,,,,,,,1656000,65000,,96612,,,4899,,,,4806000,3457000,1349000,22000,568000,546000,,,,,892145,444867,,,
Mar-79,1.1,,,,,,,,,,,,,,,,,,,,1755000,69000,,112962,,,4789,,,,4695000,3459000,1236000,90000,206000,116000,,,,,659720,349164,,,
Apr-79,1.11,,,,,,,,,,,,,,,,,,,,1693000,67000,,105864,,,4664,,,,4762000,3427000,1335000,175000,73000,-102000,,,,,463492,256024,,,
May-79,1.15,,,,,,,,,,,,,,,,,,,,1716000,68000,,104317,,,4652,,,,5057000,3438000,1619000,297000,13000,-284000,,,,,287548,170571,,,
Jun-79,1.17,,,,,,,,,,,,,,,,,,,,1643000,65000,,100633,,,4610,,,,5399000,3449000,1950000,337000,8000,-329000,,,,,189143,126564,,,
Jul-79,1.2,,,,,,,,,,,,,,,,,,,,1662000,66000,,103754,,,6075,,,,5743000,3459000,2284000,348000,19000,-329000,,,,,147607,106844,,,
Aug-79,1.24,,,,,,,,,,,,,,,,,,,,1689000,67000,,96985,,,4628,,,,6095000,3467000,2628000,348000,12000,-336000,,,,,133244,103167,,,
Sep-79,1.24,,,,,,,,,,,,,,,,,,,,1635000,65000,,97936,,,4645,,,,6401000,3481000,2920000,314000,14000,-300000,,,,,137611,106175,,,
Oct-79,1.28,,,,,,,,,,,,,,,,,,,,1705000,67000,,107418,,,3180,,,,6563000,3484000,3079000,189000,34000,-155000,,,,,215151,142161,,,
Nov-79,1.29,,,,,,,,,,,,,,,,,,,,1724000,68000,,114564,,,3395,,,,6541000,3496000,3045000,104000,132000,28000,,,,,378577,222712,,,
Dec-79,1.31,,,,,,,,,,,,,,,,,,,,1823000,72000,,110099,,,3548,,,,6306000,3553000,2753000,51000,293000,242000,,,,,593825,325768,,,
Jan-80,1.37,,,,,,,,,,,,1960000,,,,,110000,18000,12000,1821000,70000,,118006,,,6444,,,,5873000,3549000,2324000,21000,424000,403000,,93000,,,722000,356000,,,
Feb-80,1.42,,,,,,,,,,,,1840000,,,,,105000,16000,10000,1709000,66000,,108192,,,4857,,,,5402000,3550000,1852000,24000,451000,427000,,87000,,,774000,380000,,,
Mar-80,1.46,,,,,,,,,,,,1971000,,,,,114000,17000,10000,1830000,70000,,108648,,,4799,,,,5150000,3556000,1594000,59000,283000,224000,,93000,,,673000,344000,,,
Apr-80,1.51,,,,,,,,,,,,1806000,,,,,110000,16000,10000,1670000,64000,,77257,,,3245,,,,5275000,3584000,1691000,167000,65000,-102000,,85000,,,451000,239000,,,
May-80,1.56,,,,,,,,,,,,1840000,,,,,118000,17000,11000,1695000,65000,,70207,,,3144,,,,5588000,3590000,1998000,298000,9000,-289000,,86000,,,279000,155000,,,
Jun-80,1.57,,,,,,,,,,,,1725000,,,,,114000,16000,9000,1586000,61000,,61256,,,3147,,,,5895000,3596000,2299000,293000,14000,-278000,,81000,,,191000,123000,,,
Jul-80,1.64,,,,,,,,,,,,1756000,,,,,114000,17000,9000,1616000,62000,,60600,,,2585,,,,6187000,3600000,2587000,286000,19000,-267000,,82000,,,145000,103000,,,
Aug-80,1.64,,,,,,,,,,,,1716000,,,,,114000,17000,10000,1576000,61000,,59966,,,2598,,,,6462000,3608000,2854000,273000,29000,-244000,,80000,,,129000,101000,,,
Sep-80,1.69,,,,,,,,,,,,1723000,,,,,115000,17000,12000,1579000,61000,,60190,,,5051,,,,6712000,3613000,3099000,240000,11000,-229000,,80000,,,135000,106000,,,
Oct-80,1.71,,,,,,,,,,,,1790000,,,,,118000,15000,10000,1648000,63000,,74355,,,4546,,,,6806000,3619000,3187000,138000,47000,-91000,,84000,,,214000,140000,,,
Nov-80,1.76,,,,,,,,,,,,1790000,,,,,112000,17000,10000,1652000,64000,,88279,,,3500,,,,6663000,3637000,3026000,65000,188000,123000,,84000,,,392000,224000,,,
Dec-80,1.74,,,,,,,,,,,,1949000,,,,,122000,18000,11000,1798000,69000,,97806,,,4818,,,,6297000,3642000,2655000,34000,371000,337000,,91000,,,646000,340000,,,
Jan-81,1.77,,,,,,,,3.94,,,,1890000,,,,,108000,20000,10000,1752000,68000,,91149,,,5468,,,,5794000,3642000,2152000,37000,558000,521000,,81000,,,831000,406000,,,
Feb-81,1.81,,,,,,,,3.99,,,,1702000,,,,,101000,18000,10000,1573000,61000,,84706,,,4696,,,,5472000,3648000,1824000,59000,376000,317000,,73000,,,740000,355000,,,
Mar-81,1.86,,,,,,,,4.06,,,,1871000,,,,,109000,18000,9000,1735000,67000,,79820,,,5320,,,,5285000,3654000,1631000,55000,234000,179000,,81000,,,585000,304000,,,
Apr-81,1.93,,,,,,,,4.11,,,,1808000,,,,,108000,18000,8000,1674000,65000,,69337,,,4539,,,,5434000,3670000,1764000,208000,55000,-153000,,78000,,,372000,204000,,,
May-81,1.95,,,,,,,,4.29,,,,1838000,,,,,115000,18000,7000,1698000,66000,,62377,,,3524,,,,5661000,3684000,1977000,255000,26000,-228000,,79000,,,260000,151000,,,
Jun-81,1.95,,,,,,,,4.3,,,,1770000,,,,,109000,19000,8000,1634000,63000,,64923,,,4953,,,,5933000,3681000,2252000,314000,27000,-287000,,76000,,,168000,116000,,,
Jul-81,2.01,,,,,,,,4.32,,,,1797000,,,,,106000,20000,9000,1663000,65000,,66184,,,5336,,,,6257000,3699000,2558000,335000,26000,-309000,,77000,,,136000,99000,,,
Aug-81,2.02,,,,,,,,4.3,,,,1841000,,,,,108000,18000,10000,1705000,66000,,64450,,,4975,,,,6595000,3713000,2882000,361000,15000,-346000,,79000,,,123000,107000,,,
Sep-81,2.08,,,,,,,,4.47,,,,1716000,,,,,114000,18000,7000,1577000,61000,,67316,,,5776,,,,6872000,3720000,3152000,287000,9000,-277000,,73000,,,133000,107000,,,
Oct-81,2.11,,,,,,,,4.5,,,,1781000,,,,,113000,18000,7000,1643000,64000,,79204,,,5108,,,,6974000,3726000,3248000,155000,50000,-104000,,76000,,,232000,148000,,,
Nov-81,2.15,,,,,,,,4.53,,,,1714000,,,,,108000,17000,6000,1583000,61000,,81940,,,5140,,,,6932000,3731000,3201000,80000,124000,44000,,74000,,,364000,205000,,,
Dec-81,2.16,,,,,,,,4.55,,,,1860000,,,,,114000,20000,8000,1718000,67000,,92544,,,4539,,,,6569000,3752000,2817000,34000,387000,353000,,80000,,,601000,318000,,,
Jan-82,2.23,,,,,,,,4.65,,,,1870000,,,,,108000,19000,9000,1733813,71000,,98077,,,3173,,,,5933000,3751000,2182000,24000,673000,649000,,104000,,,866000,443000,,,
Feb-82,2.3,,,,,,,,4.69,,,,1716000,,,,,101000,18000,8000,1589337,65000,,85337,,,4563,,,,5537000,3750000,1787000,50000,446000,396000,,95000,,,786000,404000,,,
Mar-82,2.35,,,,,,,,4.78,,,,1822000,,,,,115000,19000,7000,1680631,69000,,81648,,,4599,,,,5370000,3766000,1604000,88000,265000,176000,,100000,,,602000,321000,,,
Apr-82,2.4,,,,,,,,4.86,,,,1719000,,,,,108000,18000,7000,1586327,65000,,71591,,,1614,,,,5454000,3778000,1676000,180000,108000,-73000,,95000,,,451000,236000,,,
May-82,2.45,,,,,,,,5.17,,,,1698000,,,,,117000,17000,7000,1557228,64000,,65324,,,3074,,,,5814000,3780000,2034000,382000,11000,-371000,,93000,,,233000,139000,,,
Jun-82,2.45,,,,,,,,5.2,,,,1647000,,,,,114000,16000,7000,1510067,62000,,61213,,,5981,,,,6147000,3778000,2369000,353000,11000,-342000,,90000,,,165000,107000,,,
Jul-82,2.47,,,,,,,,5.23,,,,1672000,,,,,119000,15000,7000,1531139,63000,,66839,,,4540,,,,6484000,3780000,2704000,351000,12000,-339000,,91000,,,138000,101000,,,
Aug-82,2.53,,,,,,,,5.23,,,,1643000,,,,,120000,18000,8000,1497022,61000,,60809,,,5983,,,,6779000,3781000,2998000,332000,35000,-298000,,89000,,,123000,105000,,,
Sep-82,2.56,,,,,,,,5.41,,,,1574000,,,,,116000,16000,6000,1435813,59000,,65515,,,4515,,,,7033000,3782000,3251000,277000,20000,-257000,,86000,,,136000,105000,,,
Oct-82,2.6,,,,,,,,5.66,,,,1615000,,,,,126000,16000,8000,1464912,60000,,76522,,,4530,,,,7149000,3785000,3364000,191000,60000,-131000,,87000,,,204000,130000,,,
Nov-82,2.62,,,,,,,,5.68,,,,1627000,,,,,119000,18000,9000,1480967,61000,,90532,,,4580,,,,7081000,3772000,3309000,83000,163000,80000,,88000,,,372000,217000,,,
Dec-82,2.62,,,,,,,,5.74,,,,1669000,,,,,125000,19000,10000,1515084,62000,,109928,,,4575,,,,6879000,3808000,3071000,86000,289000,204000,,90000,,,557000,298000,,,
Jan-83,2.66,,,,,,,,5.86,,,,1748117,,,,,125005,19994,6997,1596121,71966,,112108,,,4590,,,,6457000,3813000,2644000,24000,449000,424000,,92648,,,849621,418467,,,
Feb-83,2.66,,,,,,,,5.87,,,,1521467,,,,,111004,16995,6997,1386471,63970,,94673,,,4572,,,,6167000,3811000,2356000,36000,325000,289000,,79931,,,671628,340171,,,
Mar-83,2.58,,,,,,,,6,,,,1577466,,,,,125005,17995,7997,1426469,65969,,85912,,,4585,,,,5960000,3812000,2148000,59000,266000,207000,,82656,,,580985,298259,,,
Apr-83,2.53,,,,,,,,6.06,,,,1542366,,,,,123005,15995,7997,1395369,61971,,73644,,,4559,,,,5892000,3818000,2074000,82000,160000,78000,,80840,,,444247,233811,,,
May-83,2.53,,,,,,,,6.22,,,,1532055,,,,,114004,16995,8996,1392060,61971,,61135,,,4583,,,,6040000,3818000,2222000,191000,40000,-151000,,80840,,,276395,154185,,,
Jun-83,2.59,,,,,,,,6.2,,,,1495326,,,,,121004,18995,6997,1348330,59972,,58866,,,3075,,,,6273000,3819000,2454000,255000,22000,-234000,,78115,,,164337,105380,,,
Jul-83,2.52,,,,,,,,6.21,,,,1551881,,,,,128005,17995,7997,1397885,62971,,58094,,,4548,,,,6522000,3826000,2696000,268000,25000,-243000,,80840,,,124457,94574,,,
Aug-83,2.58,,,,,,,,6.18,,,,1532451,,,,,127005,19994,7997,1377455,65969,,55511,,,6031,,,,6731000,3823000,2908000,247000,35000,-212000,,79931,,,114458,95494,,,
Sep-83,2.67,,,,,,,,6.19,,,,1462650,,,,,123005,18995,7997,1312654,63970,,66866,,,4482,,,,6964000,3823000,3141000,258000,26000,-232000,,76298,,,122538,98798,,,
Oct-83,2.58,,,,,,,3.97,6.7,5.62,,,1531355,,,,,125005,17995,7997,1380359,67968,,64236,,,4449,,,,7095000,3825000,3270000,171000,40000,-131000,,79931,,,175875,124366,,,
Nov-83,2.6,,,,,,,3.91,6.3,5.67,,,1521775,,,,,117004,18995,8996,1376780,67968,,80498,,,4567,,,,7016000,3841000,3175000,80000,158000,78000,,79931,,,310895,185922,,,
Dec-83,2.61,,,,,,,3.88,5.94,5.62,,,1642136,,,,,119004,20994,7997,1494141,74965,,106865,,,4597,,,,6442000,3847000,2595000,29000,597000,567000,,86289,,,545164,283120,,,
Jan-84,2.67,,,,,,,3.94,5.78,5.49,,,1895481,,,,,135095,21011,8993,1730382,79082,,97339,,,4585,,,,5938000,3847000,2091000,54000,571000,517000,,101989,,,886307,436748,,,
Feb-84,2.71,,,,,,,4.02,5.84,5.54,,,1655189,,,,,127090,17009,7994,1503097,69071,,68900,,,4557,,,,5704000,3828000,1876000,60000,305000,244000,,87990,,,699925,354468,,,
Mar-84,2.67,,,,,,,3.91,5.92,5.57,,,1699551,,,,,125088,19010,8993,1546460,71073,,69161,,,5998,,,,5396000,3824000,1572000,48000,365000,317000,,90990,,,605372,310657,,,
Apr-84,2.64,,,,,,,3.96,5.96,5.52,,,1671840,,,,,132093,18009,8993,1512744,69072,,71215,,,4539,,,,5442000,3822000,1620000,144000,100000,-44000,,88990,,,462950,243353,,,
May-84,2.67,,,,,,,3.98,6.27,5.6,,,1675256,,,,,138098,19010,8993,1509156,69071,,65967,,,4559,,,,5670000,3827000,1843000,254000,30000,-224000,,88990,,,286928,159502,,,
Jun-84,2.7,,,,,,,4.02,6.76,5.67,,,1623846,,,,,135095,18009,8993,1461748,67069,,59292,,,3047,,,,5969000,3828000,2141000,323000,27000,-296000,,85990,,,169942,108290,,,
Jul-84,2.68,,,,,,,4.06,7.11,5.6,,,1682570,,,,,137097,20011,9992,1515471,69072,,55459,,,4542,,,,6285000,3829000,2456000,346000,28000,-317000,,88990,,,128314,96951,,,
Aug-84,2.69,,,,,,,3.69,7.23,5.47,,,1658423,,,,,137097,19010,8993,1493323,68071,,54104,,,4573,,,,6569000,3829000,2740000,318000,30000,-288000,,87990,,,118045,98111,,,
Sep-84,2.62,,,,,,,4.02,7.17,5.53,,,1580166,,,,,132093,16008,8993,1423071,65067,,56831,,,4549,,,,6825000,3829000,2996000,289000,30000,-259000,,83991,,,126625,101386,,,
Oct-84,2.63,,,,,,,3.99,6.8,5.54,,,1667575,,,,,143101,19010,8993,1496471,69071,,65822,,,4584,,,,7012000,3837000,3175000,242000,47000,-195000,,87990,,,182438,127912,,,
Nov-84,2.61,,,,,,,3.92,6.31,5.56,,,1661692,,,,,142100,17009,9992,1492591,68071,,84502,,,4578,,,,6915000,3900000,3015000,83000,227000,145000,,87990,,,322693,193132,,,
Dec-84,2.57,,,,,,,3.97,6.05,5.6,,,1794932,,,,,146103,21011,7994,1619824,74077,,94469,,,4642,,,,6706000,3830000,2876000,92000,304000,213000,,94990,,,565927,293733,,,
Jan-85,2.64,,,,,,,3.89,5.97,5.62,,,1833462,,,,,154016,28955,8066,1642424,77225,,103893,,,4668,,,,6083000,3841000,2242000,32000,642000,610000,,90910,,,743223,372046,,,
Feb-85,2.71,,,,,,,3.94,5.86,5.53,,,1672775,,,,,148015,25960,7058,1491742,70205,,99497,,,4607,,,,5694000,3841000,1853000,47000,438000,391000,,83917,,,837245,411603,,,
Mar-85,2.62,,,,,,,3.97,5.99,5.59,,,1689944,,,,,165017,27957,7058,1489912,71205,,89554,,,6065,,,,5578000,3835000,1743000,98000,217000,119000,,82918,,,566386,290467,,,
Apr-85,2.64,,,,,,,3.91,6.11,5.65,,,1601171,,,,,163017,26958,8066,1403129,66193,,75513,,,4624,,,,5690000,3831000,1859000,204000,91000,-113000,,78922,,,396625,205742,,,
